Agent,Wins,Losses,Draws,AvgPieces,TotalGames,Map,Timestamp,Opponent,MatchID
MCTS_Domain_600,0,10,0,2.24,10,position_1_5_empty_b.txt,2025-06-05 20:26:50,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-26-50
Minimax+AB,10,0,0,2.9,10,position_1_5_empty_b.txt,2025-06-05 20:33:26,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-33-26
MCTS_Domain_600,0,10,0,2.0,10,position_1_5_empty_b.txt,2025-06-05 20:33:26,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-33-26
Minimax+AB,10,0,0,2.9,10,position_1_5_empty_b.txt,2025-06-05 20:36:40,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-36-40
MCTS_Domain_600,0,10,0,2.0,10,position_1_5_empty_b.txt,2025-06-05 20:36:40,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-36-40
Minimax+AB,10,0,0,2.65,10,position_1_5_empty_b.txt,2025-06-05 20:47:01,MCTS_300,Minimax+AB_vs_MCTS_300_2025-06-05_20-47-01
MCTS_300,0,10,0,2.25,10,position_1_5_empty_b.txt,2025-06-05 20:47:01,Minimax+AB,Minimax+AB_vs_MCTS_300_2025-06-05_20-47-01
Minimax+AB,10,0,0,3.12,10,position_4_11_empty_b.txt,2025-06-05 20:47:44,MCTS_300,Minimax+AB_vs_MCTS_300_2025-06-05_20-47-44
MCTS_300,0,10,0,1.78,10,position_4_11_empty_b.txt,2025-06-05 20:47:44,Minimax+AB,Minimax+AB_vs_MCTS_300_2025-06-05_20-47-44
Minimax+AB,10,0,0,3.07,10,position_4_11_empty_b.txt,2025-06-05 21:13:23,MCTS_300,Minimax+AB_vs_MCTS_300_2025-06-05_21-13-23
MCTS_300,0,10,0,1.83,10,position_4_11_empty_b.txt,2025-06-05 21:13:23,Minimax+AB,Minimax+AB_vs_MCTS_300_2025-06-05_21-13-23
Minimax+AB,4,0,0,6.75,4,position_1_5_empty_b.txt,2025-06-05 21:15:35,MCTS_300,Minimax+AB_vs_MCTS_300_2025-06-05_21-15-35
MCTS_300,0,4,0,5.5,4,position_1_5_empty_b.txt,2025-06-05 21:15:35,Minimax+AB,Minimax+AB_vs_MCTS_300_2025-06-05_21-15-35
Minimax+AB,4,0,0,6.5,4,position_1_5_empty_b.txt,2025-06-05 21:16:25,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-16-25
MCTS_Domain_300,0,4,0,5.75,4,position_1_5_empty_b.txt,2025-06-05 21:16:25,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-16-25
Minimax+AB,4,0,0,6.38,4,position_1_5_empty_b.txt,2025-06-05 21:18:39,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-18-39
MCTS_Domain_300,0,4,0,5.88,4,position_1_5_empty_b.txt,2025-06-05 21:18:39,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-18-39
Minimax+AB,10,0,0,3.05,10,position_4_11_empty_b.txt,2025-06-05 21:21:30,MCTS_300,Minimax+AB_vs_MCTS_300_2025-06-05_21-21-30
MCTS_300,0,10,0,1.85,10,position_4_11_empty_b.txt,2025-06-05 21:21:30,Minimax+AB,Minimax+AB_vs_MCTS_300_2025-06-05_21-21-30
Minimax+AB,4,0,0,6.38,4,position_1_5_empty_b.txt,2025-06-05 21:25:11,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-25-11
MCTS_Domain_300,0,4,0,5.88,4,position_1_5_empty_b.txt,2025-06-05 21:25:11,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-25-11
Minimax+AB,2,2,0,6.25,4,position_1_5_empty_b.txt,2025-06-05 21:29:08,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-29-08
MCTS_Domain_300,2,2,0,6.0,4,position_1_5_empty_b.txt,2025-06-05 21:29:08,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-29-08
Minimax+AB,2,2,0,6.06,4,position_1_5_empty_b.txt,2025-06-05 21:29:22,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-29-22
MCTS_Domain_300,2,2,0,6.19,4,position_1_5_empty_b.txt,2025-06-05 21:29:22,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-29-22
Minimax+AB,3,1,0,6.56,4,position_3_3_empty_w.txt,2025-06-05 21:29:39,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-29-39
MCTS_Domain_300,1,3,0,5.69,4,position_3_3_empty_w.txt,2025-06-05 21:29:39,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-29-39
Minimax+AB,4,0,0,7.12,4,position_3_3_empty_w.txt,2025-06-05 21:29:47,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-29-47
MCTS_Domain_300,0,4,0,5.12,4,position_3_3_empty_w.txt,2025-06-05 21:29:47,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-29-47
Minimax+AB,3,1,0,7.0,4,position_18_7_empty_w.txt,2025-06-05 21:30:05,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-30-05
MCTS_Domain_300,1,3,0,5.25,4,position_18_7_empty_w.txt,2025-06-05 21:30:05,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-30-05
Minimax+AB,4,0,0,7.06,4,position_18_7_empty_w.txt,2025-06-05 21:30:16,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-30-16
MCTS_Domain_300,0,4,0,5.19,4,position_18_7_empty_w.txt,2025-06-05 21:30:16,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-30-16
Minimax+AB,4,0,0,6.81,4,position_18_7_empty_w.txt,2025-06-05 21:30:42,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-30-42
MCTS_Domain_300,0,4,0,5.44,4,position_18_7_empty_w.txt,2025-06-05 21:30:42,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-30-42
Minimax+AB,4,0,0,7.38,4,position_18_7_empty_w.txt,2025-06-05 21:30:52,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-30-52
MCTS_Domain_300,0,4,0,4.88,4,position_18_7_empty_w.txt,2025-06-05 21:30:52,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-30-52
Minimax+AB,4,0,0,6.75,4,position_1_5_empty_b.txt,2025-06-05 21:31:08,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-31-08
MCTS_Domain_300,0,4,0,5.5,4,position_1_5_empty_b.txt,2025-06-05 21:31:08,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-31-08
Minimax+AB,3,1,0,6.25,4,position_1_5_empty_b.txt,2025-06-05 21:31:21,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-31-21
MCTS_Domain_300,1,3,0,6.0,4,position_1_5_empty_b.txt,2025-06-05 21:31:21,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-31-21
Minimax+AB,3,1,0,6.5,4,position_1_5_empty_b.txt,2025-06-05 21:31:32,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-31-32
MCTS_Domain_300,1,3,0,5.75,4,position_1_5_empty_b.txt,2025-06-05 21:31:32,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-31-32
Minimax+AB,10,0,0,3.02,10,position_4_11_empty_b.txt,2025-06-05 21:31:41,MCTS_300,Minimax+AB_vs_MCTS_300_2025-06-05_21-31-41
MCTS_300,0,10,0,1.88,10,position_4_11_empty_b.txt,2025-06-05 21:31:41,Minimax+AB,Minimax+AB_vs_MCTS_300_2025-06-05_21-31-41
Minimax+AB,10,0,0,3.01,10,position_4_11_empty_b.txt,2025-06-05 21:40:53,MCTS_300,Minimax+AB_vs_MCTS_300_2025-06-05_21-40-53
MCTS_300,0,10,0,1.89,10,position_4_11_empty_b.txt,2025-06-05 21:40:53,Minimax+AB,Minimax+AB_vs_MCTS_300_2025-06-05_21-40-53
Minimax+AB,10,0,0,2.73,10,position_1_5_empty_b.txt,2025-06-05 21:41:22,MCTS_300,Minimax+AB_vs_MCTS_300_2025-06-05_21-41-22
MCTS_300,0,10,0,2.17,10,position_1_5_empty_b.txt,2025-06-05 21:41:22,Minimax+AB,Minimax+AB_vs_MCTS_300_2025-06-05_21-41-22
Minimax+AB,10,0,0,2.78,10,position_3_3_empty_w.txt,2025-06-05 21:41:44,MCTS_300,Minimax+AB_vs_MCTS_300_2025-06-05_21-41-44
MCTS_300,0,10,0,2.12,10,position_3_3_empty_w.txt,2025-06-05 21:41:44,Minimax+AB,Minimax+AB_vs_MCTS_300_2025-06-05_21-41-44
Minimax+AB,10,0,0,2.65,10,position_3_3_empty_w.txt,2025-06-05 21:50:55,MCTS_300,Minimax+AB_vs_MCTS_300_2025-06-05_21-50-55
MCTS_300,0,10,0,2.25,10,position_3_3_empty_w.txt,2025-06-05 21:50:55,Minimax+AB,Minimax+AB_vs_MCTS_300_2025-06-05_21-50-55
Minimax+AB,8,2,0,2.57,10,position_3_3_empty_w.txt,2025-06-05 21:51:07,MCTS_Domain_300,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-51-07
MCTS_Domain_300,2,8,0,2.33,10,position_3_3_empty_w.txt,2025-06-05 21:51:07,Minimax+AB,Minimax+AB_vs_MCTS_Domain_300_2025-06-05_21-51-07
Minimax+AB,6,4,0,2.51,10,position_3_3_empty_w.txt,2025-06-05 21:51:18,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_21-51-18
MCTS_Domain_600,4,6,0,2.39,10,position_3_3_empty_w.txt,2025-06-05 21:51:18,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_21-51-18
Minimax+AB,10,0,0,2.65,10,position_3_3_empty_w.txt,2025-06-05 22:19:43,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_22-19-43
MCTS_Domain_600,0,10,0,2.25,10,position_3_3_empty_w.txt,2025-06-05 22:19:43,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_22-19-43
Minimax+AB,10,0,0,2.65,10,position_3_3_empty_w.txt,2025-06-05 22:21:10,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_22-21-10
MCTS_Domain_600,0,10,0,2.25,10,position_3_3_empty_w.txt,2025-06-05 22:21:10,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_22-21-10
Minimax+AB,4,0,0,8.19,4,position_0,2025-06-05 22:42:59,AB+MCTS_Domain_600,Minimax+AB_vs_AB+MCTS_Domain_600_2025-06-05_22-42-59
AB+MCTS_Domain_600,0,4,0,4.06,4,position_0,2025-06-05 22:42:59,Minimax+AB,Minimax+AB_vs_AB+MCTS_Domain_600_2025-06-05_22-42-59
Minimax+AB,4,0,0,8.44,4,position_0,2025-06-05 22:45:44,AB+MCTS_Domain_600,Minimax+AB_vs_AB+MCTS_Domain_600_2025-06-05_22-45-44
AB+MCTS_Domain_600,0,4,0,3.81,4,position_0,2025-06-05 22:45:44,Minimax+AB,Minimax+AB_vs_AB+MCTS_Domain_600_2025-06-05_22-45-44
Minimax+AB,6,0,0,5.11,6,position_6_14_empty_b.txt,2025-06-05 22:46:35,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_22-46-35
MCTS_Domain_600,0,6,0,3.06,6,position_6_14_empty_b.txt,2025-06-05 22:46:35,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_22-46-35
Minimax+AB,5,1,0,4.81,6,position_6_14_empty_b.txt,2025-06-05 22:51:21,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_22-51-21
MCTS_Domain_600,1,5,0,3.36,6,position_6_14_empty_b.txt,2025-06-05 22:51:21,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_22-51-21
Minimax+AB,6,0,0,4.83,6,position_6_14_empty_b.txt,2025-06-05 23:01:27,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_23-01-27
MCTS_Domain_600,0,6,0,3.33,6,position_6_14_empty_b.txt,2025-06-05 23:01:27,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_23-01-27
Minimax+AB,6,0,0,4.33,6,position_1_5_empty_b.txt,2025-06-05 23:05:11,MCTS_300,Minimax+AB_vs_MCTS_300_2025-06-05_23-05-11
MCTS_300,0,6,0,3.83,6,position_1_5_empty_b.txt,2025-06-05 23:05:11,Minimax+AB,Minimax+AB_vs_MCTS_300_2025-06-05_23-05-11
Minimax+AB,6,0,0,4.39,6,position_1_5_empty_b.txt,2025-06-05 23:05:22,MCTS_300,Minimax+AB_vs_MCTS_300_2025-06-05_23-05-22
MCTS_300,0,6,0,3.78,6,position_1_5_empty_b.txt,2025-06-05 23:05:22,Minimax+AB,Minimax+AB_vs_MCTS_300_2025-06-05_23-05-22
Minimax+AB,6,0,0,5.22,6,position_6_14_empty_b.txt,2025-06-05 23:09:57,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_23-09-57
MCTS_Domain_600,0,6,0,2.94,6,position_6_14_empty_b.txt,2025-06-05 23:09:57,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_23-09-57
